0,13,11,15,7,17,16,3,18,14,13,14,10,15
13,0,12,14,12,16,13,14,11,15,16,1,9,26
11,12,0,26,10,10,25,12,23,3,24,13,3,24
15,14,26,0,22,30,1,14,3,29,2,13,23,18
7,12,10,22,0,16,21,8,19,13,20,13,9,20
17,16,10,30,16,0,29,18,27,11,30,17,7,30
16,13,25,1,21,29,0,15,2,28,3,12,22,19
3,14,12,14,8,18,15,0,17,15,12,15,11,12
18,11,23,3,19,27,2,17,0,26,5,10,20,21
14,15,3,29,13,11,28,15,26,0,27,16,6,23
13,16,24,2,20,30,3,12,5,27,0,15,23,16
14,1,13,13,13,17,12,15,10,16,15,0,10,27
10,9,3,23,9,7,22,11,20,6,23,10,0,23
15,26,24,18,20,30,19,12,21,23,16,27,23,0
