0,13,11,19,7,13,3,44,14,21,14,10,23,14
13,0,18,10,14,8,14,51,21,12,1,15,30,23
11,18,0,24,10,16,12,41,3,26,19,3,20,17
19,10,24,0,20,14,20,57,27,2,9,21,36,15
7,14,10,20,0,12,8,41,13,22,15,9,20,13
13,8,16,14,12,0,14,51,19,16,9,13,30,23
3,14,12,20,8,14,0,45,15,22,15,11,24,15
44,51,41,57,41,51,45,0,40,55,52,44,21,44
14,21,3,27,13,19,15,40,0,27,22,6,19,16
21,12,26,2,22,16,22,55,27,0,11,23,34,13
14,1,19,9,15,9,15,52,22,11,0,16,31,24
10,15,3,21,9,13,11,44,6,23,16,0,23,20
23,30,20,36,20,30,24,21,19,34,31,23,0,23
14,23,17,15,13,23,15,44,16,13,24,20,23,0
