0,12,9,8,16,9,14,13,18,11,11,13,10,21,16,14,16,7,14
12,0,11,20,16,19,26,13,22,21,9,11,2,21,6,18,24,13,4
9,11,0,17,17,12,23,14,21,10,2,4,9,22,17,7,23,2,15
8,20,17,0,18,5,8,21,12,7,19,21,18,23,24,14,10,15,22
16,16,17,18,0,23,10,3,6,25,19,21,14,5,18,24,8,17,16
9,19,12,5,23,0,13,20,17,2,14,16,17,28,23,9,15,12,21
14,26,23,8,10,13,0,13,4,15,25,27,24,15,28,22,2,21,26
13,13,14,21,3,20,13,0,9,22,16,18,11,8,15,21,11,14,13
18,22,21,12,6,17,4,9,0,19,23,25,20,11,24,26,2,21,22
11,21,10,7,25,2,15,22,19,0,12,14,19,30,25,7,17,10,23
11,9,2,19,19,14,25,16,23,12,0,2,7,24,15,9,25,4,13
13,11,4,21,21,16,27,18,25,14,2,0,9,26,17,11,27,6,15
10,2,9,18,14,17,24,11,20,19,7,9,0,19,8,16,22,11,6
21,21,22,23,5,28,15,8,11,30,24,26,19,0,23,29,13,22,21
16,6,17,24,18,23,28,15,24,25,15,17,8,23,0,24,26,17,2
14,18,7,14,24,9,22,21,26,7,9,11,16,29,24,0,24,7,22
16,24,23,10,8,15,2,11,2,17,25,27,22,13,26,24,0,23,24
7,13,2,15,17,12,21,14,21,10,4,6,11,22,17,7,23,0,15
14,4,15,22,16,21,26,13,22,23,13,15,6,21,2,22,24,15,0
