0,13,9,9,7,11,13,24,41,10,13,21,17,12,19,19,57,15,7,12
13,0,14,12,10,12,14,25,42,13,16,24,24,15,26,22,58,22,14,13
9,14,0,10,8,2,4,15,32,11,14,20,10,13,12,20,48,8,2,13
9,12,10,0,2,12,14,25,42,1,4,12,20,3,20,10,58,18,10,3
7,10,8,2,0,10,12,23,40,3,6,14,18,5,20,12,56,16,8,5
11,12,2,12,10,0,2,13,30,13,16,22,12,15,14,22,46,10,4,15
13,14,4,14,12,2,0,11,28,15,18,24,14,17,16,24,44,12,6,17
24,25,15,25,23,13,11,0,17,26,29,35,25,28,27,35,33,23,17,28
41,42,32,42,40,30,28,17,0,43,46,52,42,45,44,52,16,40,34,45
10,13,11,1,3,13,15,26,43,0,3,11,21,2,19,9,59,19,11,2
13,16,14,4,6,16,18,29,46,3,0,8,18,1,16,6,62,20,14,5
21,24,20,12,14,22,24,35,52,11,8,0,10,9,8,2,68,12,20,13
17,24,10,20,18,12,14,25,42,21,18,10,0,19,2,12,58,2,10,23
12,15,13,3,5,15,17,28,45,2,1,9,19,0,17,7,61,21,13,4
19,26,12,20,20,14,16,27,44,19,16,8,2,17,0,10,60,4,12,21
19,22,20,10,12,22,24,35,52,9,6,2,12,7,10,0,68,14,20,11
57,58,48,58,56,46,44,33,16,59,62,68,58,61,60,68,0,56,50,61
15,22,8,18,16,10,12,23,40,19,20,12,2,21,4,14,56,0,8,21
7,14,2,10,8,4,6,17,34,11,14,20,10,13,12,20,50,8,0,13
12,13,13,3,5,15,17,28,45,2,5,13,23,4,21,11,61,21,13,0
